FID,ID,NOMBRE,DESCRIPCION,DIRECCION,SDOGEOMETRIA,URL,EMAIL,CONTACTO,HORARIOS,PRECIOS,TITULARIDAD,TARJETAJOVEN,ACCESOPMR,INFOESP
da_cultura_ocio_monumentos.fid--4e730cdc_188ffd7fa71_-7322,4313,Iglesia de Santiago,"Periodo: Siglos XV-XVIII. Situada en la calle Granada, se construyó sobre el solar de una antigua mezquita.Es la iglesia más antigua de Málaga. Su fundación data del 25 de julio de 1490. De la primitiva fachada sólo se conserva, tapiada, la puerta central de estilo mudéjar. La bella torre es también de estilo mudéjar. El interior del templo, gótico-mudéjar, presenta tres naves, aunque en sus orígenes tuvo sólo una. En esta iglesia fue bautizado Picasso en 1881.","CALLE GRANADA, 78 ",POINT (373393.1677262715 4065001.4177694307),http://www.diocesismalaga.es,,,"De Lunes a Viernes y Domingo de 9:00 a 13:00 h.
Sábados de 9:00 a 12:00 h.
Tardes de lunes a domingo de 18.00 a 20.30 h.",,PRIVADA,No,No,
da_cultura_ocio_monumentos.fid--4e730cdc_188ffd7fa71_-7321,4356,Palacio de Zea-Salvatierra,"Periodo: siglo XVII. El Palacio se edificó entre los años finales del siglo XVII y comienzos del XVIII a instancias de doña María Salvatierra, viuda del capitán Blas de Zea Merino, cuyo escudo campea en la portada. En el reinado de Isabel II fue sede del Cabildo Municipal de Málaga, siendo asaltado en la revolución de 1868. Con posterioridad sirvió de Casa de Correos, uso en el que ha permanecido hasta bien entrado el siglo XX. En la actualidad es propiedad de los herederos del médico Gálvez Ginachero. El edificio es un magnífico ejemplo de la arquitectura doméstica del barroco, aunque muy transformada en su interior. En su fachada destaca la portada de piedra, desarrollada en dos plantas. Encima posee un friso de triglifos proyectado hacia fuera, para soportar el balcón principal, que posee un marco muy barroco; a ambos lados se sitúan los escudos de los fundadores de la casa. Su interior se ha organizado en torno a un patio porticado, remodelado en el siglo XIX, formado por arquerías sobre columnas de mármol con capiteles corintios. ","CALLE CÍSTER, 1 ",POINT (373262.9807073156 4064835.691479795),,,,,,PRIVADA,No,No,
da_cultura_ocio_monumentos.fid--4e730cdc_188ffd7fa71_-7320,4360,Abadía de Santa Ana,"PERIODO: Siglo XVI. El edificio actual, según proyecto de Jerónimo Cuervo, en 1878, es el que podemos visitar. Las últimas intervenciones corresponden a los años 80 y 90 del siglo XX, donde se busca satisfacer las necesidades de ampliación de la comunidad y habilitar espacios amplios para la ubicación definitiva del Museo de Arte Sacro. La estructura del templo se compone de una nave única dividida en dos tramos cubiertos con bóveda de medio cañón con arcos fajones. La capilla mayor, de planta semicircular, se remata en una cubierta de cuarto de esfera. El coro se eleva a los pies del edificio, abriéndose la tribuna a la zona del presbiterio. En el exterior destaca la portada de piedra blanca, de líneas clásicas, con arco de medio punto flanqueado por pilastras toscanas cajeadas. Centra la fachada una hornacina con la imagen de Santa Ana, original del S.XVIII.","CALLE CÍSTER, 13 ",POINT (373375.972561736 4064812.32488531),,,,,,MUNICIPAL,No,No,
da_cultura_ocio_monumentos.fid--4e730cdc_188ffd7fa71_-731f,4319,Antiguos Almacenes de Félix Sáenz,"PERIODO: Siglo XX

Hasta hace muy poco edificio sede de la casa Félix Sáenz. Edificio de la corriente Modernista, construido entre 1912-1914, obra de Guerrero Strachan. Se constituye como unas de las obras más importantes de este estilo arquitectónico que se conserva en nuestra ciudad. Se encuentra dentro de la tendencia del modernismo mediterráneo con elementos neo-barrocos. Destaca en él la tendencia a convertir los planos de la fachada en unos volúmenes y unos espacios arquitectónicamente validos.","PLAZA DE FÉLIX SÁENZ, 2 ",POINT (372894.74921149685 4064649.2728259224),,,,,,PRIVADA,No,No,
da_cultura_ocio_monumentos.fid--4e730cdc_188ffd7fa71_-731e,4301,Alcazaba,"Palacio fortaleza de los gobernantes musulmanes de la ciudad.
Fue construido en su mayor parte en el siglo XI y es uno de los monumentos emblemáticos de la capital malagueña. Dispone de accesos limitados para personas con movilidad reducida","CALLE ALCAZABILLA, 2 ",POINT (373444.02755060955 4064816.4682204677),http://www.malaga.eu,sescalona@malaga.eu,,"Del 1 de abril al 31 de octubre de 9:00 a 20:00 horas.
Del 1 de noviembre al 31 de marzo de 9:00 a 18:00 horas.
Abierto todos los días del año. ","Normal: 3,50 Euros
Visita conjunta Alcazaba-Gibralfaro: 5,50 Euros
Reducido: 1,50 Euros.
Reducido Visita conjunta Alcazaba-Gibralfaro: 2,50 Euros.
Reducido con acreditación: niños de 6 a 16 años, estudiantes, mayores de 65 años, jubilados, desempleados, discapacitados mínimo 33% y usuarios tarjeta MÁLAGACARD
Grupos (mín.10): 2,50 Euros.
Grupos Visita conjunta Alcazaba-Gibralfaro: 4,00 Euros.
Visita gratuita todos los domingos a partir de las 14:00 horas y hasta su cierre.",MUNICIPAL,No,Si,
da_cultura_ocio_monumentos.fid--4e730cdc_188ffd7fa71_-731d,4345,Monumento a Torrijos,"Periodo: Siglo XIX. Monumento dedicado al general Torrijos y a sus compañeros fusilados en las playas de Málaga el 11 de diciembre de 1831. En medio de la plaza y rodeado por una ancha verja se alza el marmóreo monumento erigido por el municipio a la memoria del general D. José Maria Torrijos y sus compañeros. Se trata del monumento civil urbano más importante y característico de la Málaga del siglo pasado. Se compone de la cripta, donde descansan sus restos, y de un elegante pedestal de base cuadrada y buenas proporciones, que termina por una pirámide de gran elevación, en la que están dedicadas una corona de bronce, en forma de laurel, a cada una de las cuarenta y nueve victimas de tan triste suceso. Terminando el monumento con otra corona colocada en el vértice de la pirámide.","PLAZA DE LA MERCED, 25 ",POINT (373421.22354507033 4065086.443453478),,,,,,MUNICIPAL,No,No,
da_cultura_ocio_monumentos.fid--4e730cdc_188ffd7fa71_-731c,4351,Plaza de la Merced,"Subiendo por la calle Alcazabilla desembocamos en la Plaza de la Merced, donde está el obelisco en homenaje a Torrijos y la Casa natal de Picasso, sede de la Fundacion Picasso. Se llamó en otros tiempos Plaza del Mercado, así como Plaza de Riego, en memoria del general liberal del siglo XIX. 
El espacio de los primeros juegos del niño Pablo Ruiz Picasso, y quizás también el de sus primeros trazos sobre la arena, fue el de la Plaza de la Merced. Aquí, en esta transitada y romántica plaza malagueña, se conocieron sus padres, y en ella vivieron políticos como el general Riego, escultores como Fernando Ortiz, escritores como Juan José Relosillas, arquitectos como Gerónimo Cuervo o pintores como Bernardo Ferrándiz. Siendo, en el Siglo XV, mercado público, y lugar de ocio y esparcimiento para los burgueses de finales del XIX, el sonido de las campanas de la iglesia de la Merced, junto a la casa natal de Picasso, tuvo como testigos a un mosaico de tipos populares de los que el genial artista, con el paso del tiempo, se hizo eco. Paveros, vendedores de leche con sus hatos de cabras, de caramelos, biznagas y confituras, guitarreros, criadas y soldados, giraban en torno al monolito que, desde 1842, se alza en el centro arbolado de la Plaza en homenaje al general Torrijos, cuyos lemas de libertad y justicia fueron el referente de aquel niño llamado Pablo Ruiz Picasso. Y no podríamos olvidar que en este entorno, aún hoy, como entonces, vuelan las palomas como el símbolo de los paradigmas anunciados en el cenotafio del militar caído. Son las palomas que Picasso, desde su infancia, y hasta su muerte, pintó - desde las manos de su padre - como el emblema perenne y mítico de su dilatada obra.","PLAZA DE LA MERCED, 25 ",POINT (373421.0425820037 4065086.480329491),,,,,,MUNICIPAL,No,No,
da_cultura_ocio_monumentos.fid--4e730cdc_188ffd7fa71_-731b,4354,Jardines de la Finca San José,"La Finca San José fue construida durante el primer tercio del siglo XIX por el Sr. Manuel Agustín Heredia y su esposa, la Sra. doña Isabel Livermore y Salas, la familia de los Heredias, y destinada a ser la residencia de recreo de la familia. Los jardines de la Finca San José son de estilo romántico y paisajista y reunen gran variedad de especies que debieron plantarse durante la segunda mitad del siglo XIX. Esta pluralidad de especies se vio agraciada por el hecho de ser la familia Heredia propietaria de una poderosa flota naviera, en cuyos barcos probablemente viajaron muchos especímenes que hoy podemos admirar. En 1846 la casa Heredia contaba con 18 barcos que mantenían comercio con diferentes puertos del Caribe, América del Norte y del Sur, Filipinas, China y otros puertos del Pacífico. San José, como se ha comentado anteriormente, estuvo unida a la finca La Concepción y como consecuencia de ello también presenta una analogía en lo que a contenido botánico se refiere con esta hacienda en particular y con El Parque, que fue creado con posterioridad. 
Parece ser que la finca dejó de pertenecer a la familia de los Heredia a partir de 1923 para convertirse en un lugar de descanso para discapacitados mentales dirigida por los Hermanos de San Juan de Dios. Sus jardines, pese a estar considerados asimismo de venerable notabilidad, toman un segundo plano debido al lugar preferente que ocupa su compañera La Concepción. Sin embargo, presenta especies muy substanciales, algunas de ellas únicas y raras, en la flora ornamental de Málaga. Destacan para los entendidos una magnífica Araucaria columnaris, un ejemplar de Beaucarnea recurvata, uno de Encephalartos villosus, otro de Schottia latifolia varios ejemplares de Pittosporum undulatum y Nandina domestica, una Erythrina caffra de porte arbóreo y numerosas especies de Arecáceas. La finca se encuentra a la salida norte de la ciudad de Málaga, quedando a la derecha de la carretera nacional 321, sentido Málaga a Madrid.","CAMINO DE CASABERMEJA, 126 ",POINT (372888.2170697687 4068945.419142787),,,,,,AUTONOMICA,No,No,
da_cultura_ocio_monumentos.fid--4e730cdc_188ffd7fa71_-731a,4327,Cementerio Inglés,"Periodo: Siglo XIX.

Primer cementerio protestante que se estableció en España, viene a albergar importantes personajes de la vida económica de la ciudad. La creación del Cementerio Inglés o Protestante, se proyectó tras la inauguración del de San Miguel con el objeto de que se acogieran en él las inhumaciones de los extranjeros (de religión protestante) que falleciesen en Málaga. Por Real Orden de 11 de abril de 1838, se confirmó la cesión de terreno al este de la ciudad en el Paseo de Reding, hecha a don Guillermo Marck, Cónsul de S.M. Británica. ","AVENIDA DE PRÍES, 1 ",POINT (374333.4928769737 4064861.0577158798),,,,"Lunes a viernes: De 09:00 a 15:00 h.
Sábados a domingos: De 10:30 a 15:00 h.
La taquilla permanecerá abierta hasta media hora antes del cierre.
","General: 4 euros.
Reducida: Estudiantes menores de 26 años, pensionistas y residentes en Málaga: 3 euros 
Grupos mayores de 15 personas: 2,50 euros 
Menores de 12 años (acompañados), miembros de la Iglesia de St. George, miembros y socios de la Fundación y familiares de los difuntos del Cementerio inglés: gratis.
De lunes a viernes: la entrada será gratuita de 9:00 a 10:00 h. con motivo de la catalogación como BIC.
",MUNICIPAL,No,No,
da_cultura_ocio_monumentos.fid--4e730cdc_188ffd7fa71_-7319,4305,Teatro Romano,"Periodo: Siglo I d.c.El teatro romano se encuentra ubicado al pie de la Alcazaba. Fue descubierto en 1951 cuando estaba llevando a cabo la realización de un jardín que se iba a encontrar en la entrada de la Casa de la Cultura. 
El teatro se construyó en la época de Augusto y fue utilizado hasta el S.III; después fue utilizado como cantera de materiales por los árabes para la restructuración de la Alcazaba, pudiéndose encontrar dentro de ésta capiteles y fustes de columnas romanas. En la actualidad queda al descubierto la galería de entrada al proscenium (escenario) que estaba cubierto por una bóveda de cañón, parte de la orchesta de unos 15 m, la cávea con 3 gradas y de 31 m de radio por 16 m de alto y el vomitorium o puertas de acceso a las gradas.","CALLE ALCAZABILLA, 8 ",POINT (373444.4144435297 4064903.012909353),,,,"Lunes cerrado. 
De martes a sábado: de 10:00 a 18:00 h. 
Domingos y festivos (y lunes vísperas de festivos) de 10:00 a 16:00 h.
Cerrado 24 y 25 y 31 de diciembre,1 de enero y 1 de mayo.",Gratis,AUTONOMICA,No,No,
da_cultura_ocio_monumentos.fid--4e730cdc_188ffd7fa71_-7318,4330,Antiguo Convento de los Padres Agustinos.,"El Museo Municipal estuvo abierto en la segunda planta del edificio que, desde 1869, albergaba al ayuntamiento de la ciudad, en calle San Agustín. Este edificio, antigua sede del seminario de San Juan de Dios, del convento de los padres agustinos y de la Facultad de Filosofía y Letras de la Universidad de Málaga, lo conoció Picasso porque desde 1879, en él estuvo trabajando su padre como conservador de los cuadros que la casa consistorial exponía al público por entonces, y en numerosas ocasiones Picasso recordó el taller donde su padre pasaba las horas que como profesor de Dibujo, la Escuela le permitía: ""El taller aquel era una pieza como cualquier otra, sin condiciones especiales: un poco más sucia, sí acaso, que la que tenia en casa; pero allí estaba tranquilo"", rememoraba el maestro. Aunque el Museo se hallaba casi siempre cerrado y fue un empleo inseguro, debido al déficit de las arcas municipales, fue en este lugar donde don José Ruiz pintó muchos de sus célebres palomares y en donde realizó las copias de cuadros de otros artistas amigos. Precisamente, uno de los primeros óleos de su hijo Pablo Vista del puerto de Málaga (h.1890) fue copiado del que realizara su padre, éste a su vez reproducido del que pintara en 1878 el marinista Emilio Ocón. El edificio está actualmente cerrado.
","CALLE SAN AGUSTÍN, 3 ",POINT (373285.20062552637 4064888.725183864),,,,,,MUNICIPAL,No,No,
da_cultura_ocio_monumentos.fid--4e730cdc_188ffd7fa71_-7317,4328,Iglesia del Convento de San Agustín,"Periodo: Siglo XVI.

El convento, debido a la especial dedicación de la Orden de S.Agustín a la enseñanza, está estructurado en tres partes bien diferenciadas: iglesia por un lado y colegio y vivienda de los monjes rodeando a un patio claustral por otro. Aunque el convento fuera fundado a finales del Siglo XVI - principios del XVII, la actual fábrica de la Iglesia corresponde al siglo siguiente (XVIII), sufriendo ésta grandes reformas a final de este último periodo.

La iglesia tiene tres naves, cubriéndose la central con bóveda de medio cañón con fajones y lunetos resaltados por molduras de suaves curvas. En el alzado destacan la alternancia de las luces de los arcos formeros, coronados con un entablamento adornado con una línea seguida de ovas y perlas, que se apoya sobre pilastras coríntias acanaladas, atribuibles, según diversos autores, al estilo de José Martín de Aldehuela.","CALLE SAN AGUSTÍN, 7 ",POINT (373281.495268128 4064893.7913366165),,,,,,PRIVADA,No,No,
da_cultura_ocio_monumentos.fid--4e730cdc_188ffd7fa71_-7316,4312,Iglesia de San Julián,"Periodo: Siglo XVIII.Junto a calle Carretería, se encuentra la Iglesia-Hospital de San Julián. Esta fundación tuvo su origen en el desaparecido Hospital de la Caridad, dotado por los Reyes Católicos con el nombre de Hospital del Rey. Su finalidad era recoger pobres y desamparados, además de curar emfermos.En 1680 el Hospital pasó con sus bienes a la orden de San Juan de Dios, que fundaron la Hermandad de la Santa Caridad de Ntro. Sr. Jesucristo y Hospital de San Julián para hospedaje de pobres y mendigos y asistir y enterrar a los ajusticiados. En 1821, la Junta municipal de Beneficiencia, clausuró la iglesia y dispersó la Hermandad. En 1924, lo cedió al Ayuntamiento para la atención de los pobres y heridos de la guerra de Africa y fue clausurado en 1931. 
En 1972 el Obispado de Málaga recuperó su propiedad cediéndolo a la Agrupación de Cofradias de Semana Santa para instalar en él la Sede Social de la Agrupación, el Archivo Histórico y el Museo de las Cofradias de Málaga. Estas actuaciónes han posibilitado la recuperación del edificio, volviendo a abrir la iglesia en 1988.","CALLE NOSQUERA, 15 ",POINT (372968.8394324407 4065119.779752612),http://www.agrupaciondecofradias.com,,,"Mañana de Lunes a Viernes: 10:00 a 14:00 h. 
Tardes de Lunes a Viernes: 16:00 a 18:00 h. 
Cerrado Sábados y Domingos.",,PRIVADA,No,No,
da_cultura_ocio_monumentos.fid--4e730cdc_188ffd7fa71_-7315,4329,Delegación de la Junta de Andalucía,"Es un hermoso edificio de finales del siglo XVIII, remodelado en el XIX. En su diseño este edificio responde a la influencia del Neoclasicismo italianizante, que se introdujo en Málaga a través de la Aduana. Estas semejanzas se aprecian en la planta baja, que aparece con un almohadillado florentino. Presenta balcones corridos, coronado con frontones triangulares y curvos. En el tercer cuerpo los balcones son sencillos; del centro emerge una torre poligonal. La portada labrada en mármol, es adintelada, abierta entre hermosas pilastras cajeadas. En su interior, tras el zaguán, se encuentra un patio porticado, cuyo lado principal se compone de columnas toscanas de zapatas que sostienen las grandes vigas de madera y los soportes de las galerías superiores y entre ellas arranca una escalera, también del siglo XIX, como el conjunto del patio. 

","ALAMEDA PRINCIPAL, 18 ",POINT (372879.12302942347 4064500.9281104556),,,,9:00 a 14:00 h. lunes a viernes,,AUTONOMICA,No,Si,
da_cultura_ocio_monumentos.fid--4e730cdc_188ffd7fa71_-7314,4333,Antiguo Instituto de Segunda Enseñanza,"Poco antes de abandonar Málaga, en octubre de 1891, Picasso fue examinado en el Instituto de Segunda Enseñanza, situado en el número 1 de calle Gaona. Antiguo convento de los filipenses, en 1846 abrió sus puertas como centro educativo, y, tres años después, fue instalada en este emplazamiento la Escuela de Náutica, de gran arraigo en la ciudad. Picasso refirió en varias, ocasiones el examen que tuvo que sufrir para acceder al Instituto de La Coruña, documento que aún se conserva junto a la instancia y pago de derechos de Latín y Castellano y Geografía y que estaba constituido por un breve dictado y una división, rubricada por Picasso a finales de junio de este año, siendo su director don Ramón Ibáñez Ibáñez, quien ejerció, como presidente del Tribunal que aprobó, en este centro, al joven alumno. Junto a Picasso, otras distinguidas personalidades - entre ellas el Premio Nobel Severo Ochoa - han pasado por las aulas de este edificio del siglo XVIII que conserva, aún hoy todo el encanto de su patio central balconado y coronado por medallones que recuerdan, en sus sentencias, la filosofía religiosa que imperó hasta, la apertura del edificio como centro docente.
","CALLE GAONA, 7 ",POINT (373116.02852964384 4065302.5571174296),,,,,,AUTONOMICA,No,Si,
da_cultura_ocio_monumentos.fid--4e730cdc_188ffd7fa71_-7313,4342,Jardines de Puerta Oscura,"En la Revista Nacional de Arquitectura (1943) se hace la siguiente alusión a los jardines de Puerta Oscura: ""Paralelamente a la reconstrucción de la Alcazaba, y como complemento de la misma, Guerrero Strachan proyecta la urbanización de los alrededores, entre ellos los actuales jardines de Puerta Oscura y los de ampliación del Parque. En ambos trata de resumir las características del jardín meridional con los medios propios de la localidad. El primero de ellos se resuelve de forma escalonada, según la pendiente de la colina de la Alcazaba. Destaca el colorido de las diversas especies vegetales, en hábil combinación con los elementos arquitéctonicos -pavimentos, escalinatas, fuentes, etc.-, todos ellos enmarcados en trazas geométricas de tradicional composición decorativa"". Estos agradables jardines, que ocupan la ladera sur de la estribación de Gibralfaro sobre la que se asienta la Alcazaba, fueron diseñados por Guerrero Strachan con indudable acierto, transformando una áspera vertiente en sucesión de terrazas, paseos y pequeñas glorietas que sorprenden especialmente a los visitantes de la ciudad. Estos jardines por otra parte enmarcan las murallas de la Alcazaba, por lo que su trazado había que armonizar con las mismas; han de valorarse además como parte del excepcional conjunto ajardinado del que forma parte, junto con los de Pedro Luis Alonso, el Parque, la casa del jardinero-jefe y la Aduana.","JARDINES DE PUERTA OSCURA, 1 ",POINT (373606.51365630707 4064830.1365495324),,,,,,MUNICIPAL,No,No,
